team,pos,id,tour,prizepool,place,prizeusd,start,startglicko2mu,startglicko2phi,startglicko2rating,end,endglicko2mu,endglicko2phi,endglicko2rating
thewingsgaming,4,y,The International 2016,20770460,1 ,"9,139,002 ",02/08/2016,1937.2067048597148,35.38541169451882,1848.7431756234178,13/08/2016,1957.9274830717914,36.3906260266352,1866.9509180052034
thewingsgaming,5,iceice,The International 2016,20770460,1 ,"9,139,002 ",02/08/2016,1937.2067048597148,35.38541169451882,1848.7431756234178,13/08/2016,1957.9274830717914,36.3906260266352,1866.9509180052034
tncgaming,1,raven,The International 2016,20770460,0.00,0.00,02/08/2016,,,,13/08/2016,,,
tncgaming,2,kuku,The International 2016,20770460,0.00,0.00,02/08/2016,,,,13/08/2016,,,
tncgaming,3,sam_h,The International 2016,20770460,0.00,0.00,02/08/2016,,,,13/08/2016,,,
tncgaming,4,eyyou,The International 2016,20770460,0.00,0.00,02/08/2016,,,,13/08/2016,,,
tncgaming,5,demon,The International 2016,20770460,0.00,0.00,02/08/2016,,,,13/08/2016,,,
digitalchaos,1,resolut1on,The International 2016,20770460,2 ,"3,427,126 ",02/08/2016,1914.9818708729003,37.77243578327981,1820.5507814147009,13/08/2016,1930.9106196228768,36.78987692909322,1838.9359273001437
digitalchaos,2,w33,The International 2016,20770460,2 ,"3,427,126 ",02/08/2016,1914.9818708729003,37.77243578327981,1820.5507814147009,13/08/2016,1930.9106196228768,36.78987692909322,1838.9359273001437
digitalchaos,3,moo,The International 2016,20770460,2 ,"3,427,126 ",02/08/2016,1914.9818708729003,37.77243578327981,1820.5507814147009,13/08/2016,1930.9106196228768,36.78987692909322,1838.9359273001437
digitalchaos,4,saksa,The International 2016,20770460,2 ,"3,427,126 ",02/08/2016,1914.9818708729003,37.77243578327981,1820.5507814147009,13/08/2016,1930.9106196228768,36.78987692909322,1838.9359273001437
digitalchaos,5,misery,The International 2016,20770460,2 ,"3,427,126 ",02/08/2016,1914.9818708729003,37.77243578327981,1820.5507814147009,13/08/2016,1930.9106196228768,36.78987692909322,1838.9359273001437
vicigamingreborn,1,end,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,,,,13/08/2016,,,
vicigamingreborn,2,nono,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,,,,13/08/2016,,,
vicigamingreborn,3,mikasa,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,,,,13/08/2016,,,
vicigamingreborn,4,fy,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,,,,13/08/2016,,,
